ID Sex BirthYear
a00001 1 2000
a00002 1 2000
a00003 1 2000
a00004 1 2000
a00005 1 2000
a00006 1 2000
a00007 1 2000
a00008 1 2000
a00009 1 2000
a00010 1 2000
a00011 1 2000
a00012 1 2000
a00013 1 2000
a00014 1 2000
a00015 1 2000
a00016 1 2000
a00017 1 2000
a00018 1 2000
a00019 1 2000
a00020 1 2000
a00021 1 2000
a00022 1 2000
a00023 1 2000
a00024 1 2000
b00001 2 2000
b00002 2 2000
b00003 2 2000
b00004 2 2000
b00005 2 2000
b00006 2 2000
b00007 2 2000
b00008 2 2000
b00009 2 2000
b00010 2 2000
b00011 2 2000
b00012 2 2000
b00013 2 2000
b00014 2 2000
b00015 2 2000
b00016 2 2000
a01001 1 2001
a01002 1 2001
b01003 2 2001
b01004 2 2001
a01005 1 2001
b01006 2 2001
b01007 2 2001
a01008 1 2001
b01009 2 2001
a01010 1 2001
b01011 2 2001
b01012 2 2001
b01013 2 2001
b01014 2 2001
b01015 2 2001
a01016 1 2001
b01017 2 2001
b01018 2 2001
b01019 2 2001
a01020 1 2001
b01021 2 2001
a01022 1 2001
a01023 1 2001
b01024 2 2001
a01025 1 2001
b01026 2 2001
a01027 1 2001
b01028 2 2001
a01029 1 2001
a01030 1 2001
a01031 1 2001
a01032 1 2001
b01033 2 2001
b01034 2 2001
a01035 1 2001
a01036 1 2001
b01037 2 2001
b01038 2 2001
a01039 1 2001
b01040 2 2001
b01041 2 2001
a01042 1 2001
a01043 1 2001
b01044 2 2001
b01045 2 2001
a01046 1 2001
a01047 1 2001
a01048 1 2001
b01049 2 2001
a01050 1 2001
a01051 1 2001
b01052 2 2001
a01053 1 2001
b01054 2 2001
b01055 2 2001
a01056 1 2001
b01057 2 2001
b01058 2 2001
b01059 2 2001
b01060 2 2001
b01061 2 2001
a01062 1 2001
a01063 1 2001
b01064 2 2001
b01065 2 2001
b01066 2 2001
b01067 2 2001
a01068 1 2001
b01069 2 2001
a01070 1 2001
a01071 1 2001
b01072 2 2001
a01073 1 2001
a01074 1 2001
b01075 2 2001
a01076 1 2001
a01077 1 2001
a01078 1 2001
b01079 2 2001
a01080 1 2001
a01081 1 2001
b01082 2 2001
a01083 1 2001
b01084 2 2001
b01085 2 2001
a01086 1 2001
b01087 2 2001
b01088 2 2001
b01089 2 2001
a01090 1 2001
b01091 2 2001
b01092 2 2001
a01093 1 2001
b01094 2 2001
b01095 2 2001
b01096 2 2001
a01097 1 2001
b01098 2 2001
a01099 1 2001
b01100 2 2001
b01101 2 2001
b01102 2 2001
a01103 1 2001
