ID	Sex	BirthYear
i001_2001_F	1	2001
i002_2001_M	2	2001
i003_2001_M	2	2001
i004_2001_F	1	2001
i005_2001_F	1	2001
i006_2001_M	2	2001
i007_2001_F	1	2001
i008_2001_M	2	2001
i009_2001_M	2	2001
i010_2001_M	2	2001
i011_2001_F	1	2001
i012_2001_F	1	2001
i013_2001_F	1	2001
i014_2001_F	1	2001
i015_2001_F	1	2001
i016_2001_M	2	2001
i017_2001_F	1	2001
i018_2001_M	2	2001
i019_2001_M	2	2001
i020_2001_M	2	2001
i021_2002_M	2	2002
i022_2002_F	1	2002
i023_2002_F	1	2002
i024_2002_M	2	2002
i025_2002_M	2	2002
i026_2002_M	2	2002
i027_2002_F	1	2002
i028_2002_M	2	2002
i029_2002_M	2	2002
i030_2002_F	1	2002
i031_2002_M	2	2002
i032_2002_F	1	2002
i033_2002_F	1	2002
i034_2002_F	1	2002
i035_2002_F	1	2002
i036_2002_M	2	2002
i037_2002_F	1	2002
i038_2002_F	1	2002
i039_2002_M	2	2002
i040_2002_M	2	2002
i041_2003_F	1	2003
i042_2003_F	1	2003
i043_2003_M	2	2003
i044_2003_F	1	2003
i045_2003_F	1	2003
i046_2003_M	2	2003
i047_2003_F	1	2003
i048_2003_F	1	2003
i049_2003_M	2	2003
i050_2003_M	2	2003
i051_2003_F	1	2003
i052_2003_F	1	2003
i053_2003_M	2	2003
i054_2003_F	1	2003
i055_2003_M	2	2003
i056_2003_M	2	2003
i057_2003_M	2	2003
i058_2003_M	2	2003
i059_2003_M	2	2003
i060_2003_F	1	2003
i061_2004_F	1	2004
i062_2004_M	2	2004
i063_2004_F	1	2004
i064_2004_F	1	2004
i065_2004_M	2	2004
i066_2004_M	2	2004
i067_2004_F	1	2004
i068_2004_F	1	2004
i069_2004_F	1	2004
i070_2004_M	2	2004
i071_2004_M	2	2004
i072_2004_M	2	2004
i073_2004_M	2	2004
i074_2004_M	2	2004
i075_2004_F	1	2004
i076_2004_F	1	2004
i077_2004_F	1	2004
i078_2004_M	2	2004
i079_2004_F	1	2004
i080_2004_M	2	2004
i081_2005_F	1	2005
i082_2005_M	2	2005
i083_2005_M	2	2005
i084_2005_M	2	2005
i085_2005_M	2	2005
i086_2005_M	2	2005
i087_2005_F	1	2005
i088_2005_F	1	2005
i089_2005_M	2	2005
i090_2005_M	2	2005
i091_2005_F	1	2005
i092_2005_M	2	2005
i093_2005_F	1	2005
i094_2005_M	2	2005
i095_2005_F	1	2005
i096_2005_M	2	2005
i097_2005_M	2	2005
i098_2005_M	2	2005
i099_2005_M	2	2005
i100_2005_F	1	2005
i101_2006_F	1	2006
i102_2006_M	2	2006
i103_2006_M	2	2006
i104_2006_M	2	2006
i105_2006_M	2	2006
i106_2006_M	2	2006
i107_2006_M	2	2006
i108_2006_F	1	2006
i109_2006_M	2	2006
i110_2006_M	2	2006
i111_2006_M	2	2006
i112_2006_M	2	2006
i113_2006_M	2	2006
i114_2006_M	2	2006
i115_2006_F	1	2006
i116_2006_M	2	2006
i117_2006_M	2	2006
i118_2006_M	2	2006
i119_2006_M	2	2006
i120_2006_M	2	2006
i121_2007_M	2	2007
i122_2007_M	2	2007
i123_2007_F	1	2007
i124_2007_M	2	2007
i125_2007_F	1	2007
i126_2007_F	1	2007
i127_2007_M	2	2007
i128_2007_M	2	2007
i129_2007_F	1	2007
i130_2007_F	1	2007
i131_2007_F	1	2007
i132_2007_F	1	2007
i133_2007_F	1	2007
i134_2007_F	1	2007
i135_2007_F	1	2007
i136_2007_M	2	2007
i137_2007_F	1	2007
i138_2007_F	1	2007
i139_2007_M	2	2007
i140_2007_F	1	2007
i141_2008_M	2	2008
i142_2008_M	2	2008
i143_2008_M	2	2008
i144_2008_M	2	2008
i145_2008_F	1	2008
i146_2008_M	2	2008
i147_2008_F	1	2008
i148_2008_F	1	2008
i149_2008_F	1	2008
i150_2008_F	1	2008
i151_2008_F	1	2008
i152_2008_F	1	2008
i153_2008_F	1	2008
i154_2008_F	1	2008
i155_2008_F	1	2008
i156_2008_F	1	2008
i157_2008_F	1	2008
i158_2008_M	2	2008
i159_2008_F	1	2008
i160_2008_F	1	2008
i161_2009_M	2	2009
i162_2009_M	2	2009
i163_2009_M	2	2009
i164_2009_F	1	2009
i165_2009_F	1	2009
i166_2009_F	1	2009
i167_2009_F	1	2009
i168_2009_F	1	2009
i169_2009_M	2	2009
i170_2009_F	1	2009
i171_2009_M	2	2009
i172_2009_M	2	2009
i173_2009_F	1	2009
i174_2009_F	1	2009
i175_2009_M	2	2009
i176_2009_F	1	2009
i177_2009_M	2	2009
i178_2009_M	2	2009
i179_2009_M	2	2009
i180_2009_M	2	2009
i181_2010_F	1	2010
i182_2010_F	1	2010
i183_2010_F	1	2010
i184_2010_M	2	2010
i185_2010_M	2	2010
i186_2010_F	1	2010
i187_2010_M	2	2010
i188_2010_M	2	2010
i189_2010_M	2	2010
i190_2010_M	2	2010
i191_2010_F	1	2010
i192_2010_M	2	2010
i193_2010_F	1	2010
i194_2010_M	2	2010
i195_2010_M	2	2010
i196_2010_M	2	2010
i197_2010_F	1	2010
i198_2010_M	2	2010
i199_2010_F	1	2010
i200_2010_F	1	2010
