"id"	"mum"
"i001_2001_F"	NA
"i006_2001_M"	NA
"i007_2001_F"	NA
"i008_2001_M"	NA
"i009_2001_M"	NA
"i014_2001_F"	NA
"i015_2001_F"	NA
"i016_2001_M"	NA
"i017_2001_F"	NA
"i018_2001_M"	NA
"i020_2001_M"	NA
"i021_2002_M"	"i001_2001_F"
"i022_2002_F"	"i015_2001_F"
"i023_2002_F"	"i007_2001_F"
"i025_2002_M"	"i014_2001_F"
"i027_2002_F"	NA
"i028_2002_M"	NA
"i029_2002_M"	NA
"i030_2002_F"	"i001_2001_F"
"i033_2002_F"	NA
"i034_2002_F"	NA
"i035_2002_F"	"i015_2001_F"
"i036_2002_M"	NA
"i039_2002_M"	NA
"i040_2002_M"	NA
"i041_2003_F"	"RedOrange"
"i042_2003_F"	"i015_2001_F"
"i044_2003_F"	NA
"i045_2003_F"	"i007_2001_F"
"i046_2003_M"	NA
"i047_2003_F"	"i027_2002_F"
"i049_2003_M"	NA
"i050_2003_M"	"i033_2002_F"
"i051_2003_F"	"i030_2002_F"
"i053_2003_M"	"GreenRed"
"i054_2003_F"	"RedOrange"
"i055_2003_M"	NA
"i057_2003_M"	"GreenRed"
"i059_2003_M"	NA
"i061_2004_F"	"i030_2002_F"
"i062_2004_M"	NA
"i064_2004_F"	"i047_2003_F"
"i066_2004_M"	"i034_2002_F"
"i067_2004_F"	NA
"i068_2004_F"	"i022_2002_F"
"i069_2004_F"	"i045_2003_F"
"i071_2004_M"	"i051_2003_F"
"i072_2004_M"	NA
"i073_2004_M"	NA
"i074_2004_M"	"i054_2003_F"
"i075_2004_F"	"i027_2002_F"
"i076_2004_F"	"RedOrange"
"i077_2004_F"	NA
"i078_2004_M"	NA
"i079_2004_F"	"i041_2003_F"
"i080_2004_M"	"i041_2003_F"
"i081_2005_F"	"i042_2003_F"
"i083_2005_M"	"i042_2003_F"
"i084_2005_M"	"i077_2004_F"
"i086_2005_M"	NA
"i088_2005_F"	"i079_2004_F"
"i089_2005_M"	"i041_2003_F"
"i091_2005_F"	NA
"i092_2005_M"	"i041_2003_F"
"i094_2005_M"	NA
"i095_2005_F"	"i045_2003_F"
"i097_2005_M"	"i067_2004_F"
"i099_2005_M"	"i079_2004_F"
"i103_2006_M"	"i069_2004_F"
"i105_2006_M"	"i069_2004_F"
"i106_2006_M"	NA
"i107_2006_M"	"i067_2004_F"
"i108_2006_F"	"GreenBlue"
"i109_2006_M"	"i069_2004_F"
"i110_2006_M"	"i061_2004_F"
"i111_2006_M"	NA
"i112_2006_M"	"i095_2005_F"
"i113_2006_M"	NA
"i114_2006_M"	NA
"i116_2006_M"	"i091_2005_F"
"i118_2006_M"	"i091_2005_F"
"i119_2006_M"	"i091_2005_F"
"i121_2007_M"	"GreenYellow"
"i122_2007_M"	"GreenBlue"
"i123_2007_F"	"OrangeGreen"
"i124_2007_M"	"GreenBlue"
"i126_2007_F"	NA
"i127_2007_M"	NA
"i128_2007_M"	"i108_2006_F"
"i130_2007_F"	"OrangeGreen"
"i131_2007_F"	"OrangeGreen"
"i132_2007_F"	NA
"i133_2007_F"	"OrangeGreen"
"i135_2007_F"	"GreenYellow"
"i136_2007_M"	"i095_2005_F"
"i137_2007_F"	"i108_2006_F"
"i141_2008_M"	"YellowPink"
"i142_2008_M"	"GreenBlue"
"i143_2008_M"	"i137_2007_F"
"i144_2008_M"	"GreenYellow"
"i145_2008_F"	"i132_2007_F"
"i147_2008_F"	"YellowBlue"
"i148_2008_F"	"GreenYellow"
"i149_2008_F"	"i126_2007_F"
"i151_2008_F"	"i108_2006_F"
"i153_2008_F"	NA
"i154_2008_F"	"i137_2007_F"
"i157_2008_F"	NA
"i158_2008_M"	"BlueRed"
"i159_2008_F"	"YellowBlue"
"i160_2008_F"	"BlueRed"
"i161_2009_M"	NA
"i165_2009_F"	"PinkBlue"
"i166_2009_F"	"PinkBlue"
"i169_2009_M"	"i133_2007_F"
"i170_2009_F"	"BlueRed"
"i171_2009_M"	NA
"i173_2009_F"	"BlueRed"
"i174_2009_F"	NA
"i175_2009_M"	"PinkBlue"
"i176_2009_F"	"i148_2008_F"
"i177_2009_M"	"YellowPink"
"i179_2009_M"	"YellowPink"
"i181_2010_F"	NA
"i182_2010_F"	NA
"i183_2010_F"	"i160_2008_F"
"i184_2010_M"	"i147_2008_F"
"i185_2010_M"	NA
"i186_2010_F"	"i174_2009_F"
"i187_2010_M"	"i148_2008_F"
"i188_2010_M"	NA
"i189_2010_M"	NA
"i190_2010_M"	NA
"i191_2010_F"	NA
"i192_2010_M"	NA
"i193_2010_F"	"i160_2008_F"
"i194_2010_M"	"i149_2008_F"
"i195_2010_M"	"i157_2008_F"
"i196_2010_M"	"i148_2008_F"
"i197_2010_F"	"i170_2009_F"
"i198_2010_M"	"i166_2009_F"
"i199_2010_F"	"i165_2009_F"
"i200_2010_F"	"i166_2009_F"
