id	dam	sire
a00014	NA	NA
a00013	NA	NA
a00008	NA	NA
a00011	NA	NA
a00019	NA	NA
a00024	NA	NA
a00023	NA	NA
a00006	NA	NA
a00004	NA	NA
a00018	NA	NA
a00005	NA	NA
a00003	NA	NA
a00016	NA	NA
a00007	NA	NA
a00002	NA	NA
a00015	NA	NA
a00020	NA	NA
a00010	NA	NA
a00017	NA	NA
a00021	NA	NA
a00001	NA	NA
a00009	NA	NA
a00012	NA	NA
a00022	NA	NA
b00011	NA	NA
b00001	NA	NA
b00016	NA	NA
b00003	NA	NA
b00015	NA	NA
b00012	NA	NA
b00008	NA	NA
b00002	NA	NA
b00014	NA	NA
b00006	NA	NA
b00004	NA	NA
b00013	NA	NA
b00005	NA	NA
b00009	NA	NA
b00010	NA	NA
b00007	NA	NA
a01001	a00014	b00011
a01002	a00014	b00011
b01003	a00014	b00011
b01004	a00014	b00011
a01005	a00013	b00001
b01006	a00013	b00001
b01007	a00013	b00001
a01008	a00013	b00001
b01009	a00008	b00016
a01010	a00008	b00016
b01011	a00008	b00016
b01012	a00008	b00016
b01013	a00011	b00001
b01014	a00011	b00001
b01015	a00011	b00001
a01016	a00011	b00001
b01017	a00011	b00003
b01018	a00011	b00003
b01019	a00011	b00003
a01020	a00011	b00003
b01021	a00019	b00015
a01022	a00019	b00015
a01023	a00019	b00015
b01024	a00019	b00015
a01025	a00024	b00012
b01026	a00024	b00012
a01027	a00024	b00012
b01028	a00024	b00012
a01029	a00023	b00008
a01030	a00023	b00008
a01031	a00023	b00008
a01032	a00023	b00008
b01033	a00006	b00002
b01034	a00006	b00002
a01035	a00006	b00002
a01036	a00006	b00002
b01037	a00004	b00014
b01038	a00004	b00014
a01039	a00004	b00014
b01040	a00004	b00014
b01041	a00018	b00001
a01042	a00018	b00001
a01043	a00018	b00001
b01044	a00018	b00001
b01045	a00006	b00006
a01046	a00006	b00006
a01047	a00006	b00006
a01048	a00006	b00006
b01049	a00005	b00011
a01050	a00005	b00011
a01051	a00005	b00011
b01052	a00005	b00011
a01053	a00008	b00015
b01054	a00008	b00015
b01055	a00008	b00015
a01056	a00008	b00015
b01057	a00019	b00004
b01058	a00019	b00004
b01059	a00019	b00004
b01060	a00019	b00004
b01061	a00003	b00013
a01062	a00003	b00013
a01063	a00003	b00013
b01064	a00003	b00013
b01065	a00016	b00005
b01066	a00016	b00005
b01067	a00016	b00005
a01068	a00016	b00005
b01069	a00023	b00015
a01070	a00023	b00015
a01071	a00023	b00015
b01072	a00023	b00015
a01073	a00013	b00006
a01074	a00013	b00006
b01075	a00013	b00006
a01076	a00013	b00006
a01077	a00016	b00009
a01078	a00016	b00009
b01079	a00016	b00009
a01080	a00016	b00009
a01081	a00003	b00014
b01082	a00003	b00014
a01083	a00003	b00014
b01084	a00003	b00014
b01085	a00007	b00010
a01086	a00007	b00010
b01087	a00007	b00010
b01088	a00007	b00010
b01089	a00002	b00003
a01090	a00002	b00003
b01091	a00002	b00003
b01092	a00002	b00003
a01093	a00002	b00007
b01094	a00002	b00007
b01095	a00002	b00007
b01096	a00002	b00007
a01097	a00015	b00006
b01098	a00015	b00006
a01099	a00015	b00006
b01100	a00015	b00006
b01101	a00015	b00014
b01102	a00015	b00014
a01103	a00015	b00014
b01104	a00015	b00014
a01105	a00020	b00008
b01106	a00020	b00008
b01107	a00020	b00008
a01108	a00020	b00008
b01109	a00010	b00011
a01110	a00010	b00011
a01111	a00010	b00011
a01112	a00010	b00011
a01113	a00010	b00010
a01114	a00010	b00010
b01115	a00010	b00010
a01116	a00010	b00010
a01117	a00017	b00003
a01118	a00017	b00003
b01119	a00017	b00003
b01120	a00017	b00003
b01121	a00021	b00012
a01122	a00021	b00012
a01123	a00021	b00012
b01124	a00021	b00012
b01125	a00017	b00009
a01126	a00017	b00009
b01127	a00017	b00009
a01128	a00017	b00009
a01129	a00005	b00004
a01130	a00005	b00004
a01131	a00005	b00004
a01132	a00005	b00004
b01133	a00001	b00013
