id	dam	sire	birthyear
i001_2001_F	NA	NA	2001
i002_2001_M	NA	NA	2001
i003_2001_M	NA	NA	2001
i004_2001_F	NA	NA	2001
i005_2001_F	NA	NA	2001
i006_2001_M	NA	NA	2001
i007_2001_F	NA	NA	2001
i008_2001_M	NA	NA	2001
i009_2001_M	NA	NA	2001
i010_2001_M	NA	NA	2001
i011_2001_F	NA	NA	2001
i012_2001_F	NA	NA	2001
i013_2001_F	NA	NA	2001
i014_2001_F	NA	NA	2001
i015_2001_F	NA	NA	2001
i016_2001_M	NA	NA	2001
i017_2001_F	NA	NA	2001
i018_2001_M	NA	NA	2001
i019_2001_M	NA	NA	2001
i020_2001_M	NA	NA	2001
i021_2002_M	i001_2001_F	i020_2001_M	2002
i022_2002_F	i015_2001_F	i006_2001_M	2002
i023_2002_F	i007_2001_F	i019_2001_M	2002
i024_2002_M	i013_2001_F	NA	2002
i025_2002_M	i014_2001_F	i018_2001_M	2002
i026_2002_M	NA	NA	2002
i027_2002_F	NA	NA	2002
i028_2002_M	i005_2001_F	NA	2002
i029_2002_M	NA	NA	2002
i030_2002_F	i001_2001_F	i016_2001_M	2002
i031_2002_M	NA	NA	2002
i032_2002_F	NA	i002_2001_M	2002
i033_2002_F	i013_2001_F	NA	2002
i034_2002_F	i011_2001_F	NA	2002
i035_2002_F	i015_2001_F	NA	2002
i036_2002_M	NA	NA	2002
i037_2002_F	NA	NA	2002
i038_2002_F	NA	NA	2002
i039_2002_M	NA	NA	2002
i040_2002_M	NA	NA	2002
i041_2003_F	i032_2002_F	i021_2002_M	2003
i042_2003_F	i015_2001_F	i006_2001_M	2003
i043_2003_M	i035_2002_F	i020_2001_M	2003
i044_2003_F	i011_2001_F	i019_2001_M	2003
i045_2003_F	i007_2001_F	i020_2001_M	2003
i046_2003_M	NA	i026_2002_M	2003
i047_2003_F	i027_2002_F	i010_2001_M	2003
i048_2003_F	i034_2002_F	i018_2001_M	2003
i049_2003_M	i004_2001_F	i019_2001_M	2003
i050_2003_M	i033_2002_F	i028_2002_M	2003
i051_2003_F	i030_2002_F	NA	2003
i052_2003_F	i033_2002_F	i040_2002_M	2003
i053_2003_M	i038_2002_F	i008_2001_M	2003
i054_2003_F	i032_2002_F	i016_2001_M	2003
i055_2003_M	i012_2001_F	i040_2002_M	2003
i056_2003_M	i035_2002_F	i018_2001_M	2003
i057_2003_M	i038_2002_F	i018_2001_M	2003
i058_2003_M	NA	NA	2003
i059_2003_M	i013_2001_F	i036_2002_M	2003
i060_2003_F	NA	NA	2003
i061_2004_F	i030_2002_F	i036_2002_M	2004
i062_2004_M	i012_2001_F	i058_2003_M	2004
i063_2004_F	i023_2002_F	i021_2002_M	2004
i064_2004_F	i047_2003_F	i036_2002_M	2004
i065_2004_M	i044_2003_F	i031_2002_M	2004
i066_2004_M	i034_2002_F	i024_2002_M	2004
i067_2004_F	i005_2001_F	i029_2002_M	2004
i068_2004_F	i022_2002_F	i024_2002_M	2004
i069_2004_F	i045_2003_F	i028_2002_M	2004
i070_2004_M	i048_2003_F	i031_2002_M	2004
i071_2004_M	i051_2003_F	i031_2002_M	2004
i072_2004_M	i048_2003_F	i010_2001_M	2004
i073_2004_M	i060_2003_F	i003_2001_M	2004
i074_2004_M	i054_2003_F	i059_2003_M	2004
i075_2004_F	i027_2002_F	i050_2003_M	2004
i076_2004_F	i032_2002_F	i050_2003_M	2004
i077_2004_F	i037_2002_F	i028_2002_M	2004
i078_2004_M	i052_2003_F	i025_2002_M	2004
i079_2004_F	i041_2003_F	i046_2003_M	2004
i080_2004_M	i041_2003_F	i039_2002_M	2004
i081_2005_F	i042_2003_F	i070_2004_M	2005
i082_2005_M	i069_2004_F	i026_2002_M	2005
i083_2005_M	i042_2003_F	i070_2004_M	2005
i084_2005_M	i077_2004_F	i056_2003_M	2005
i085_2005_M	i077_2004_F	i050_2003_M	2005
i086_2005_M	i037_2002_F	i059_2003_M	2005
i087_2005_F	i064_2004_F	i074_2004_M	2005
i088_2005_F	i079_2004_F	i043_2003_M	2005
i089_2005_M	i041_2003_F	i062_2004_M	2005
i090_2005_M	i061_2004_F	i053_2003_M	2005
i091_2005_F	i063_2004_F	i043_2003_M	2005
i092_2005_M	i041_2003_F	i065_2004_M	2005
i093_2005_F	i077_2004_F	i036_2002_M	2005
i094_2005_M	i063_2004_F	i078_2004_M	2005
i095_2005_F	i045_2003_F	i071_2004_M	2005
i096_2005_M	i061_2004_F	i046_2003_M	2005
i097_2005_M	i067_2004_F	i028_2002_M	2005
i098_2005_M	i067_2004_F	i070_2004_M	2005
i099_2005_M	i079_2004_F	i062_2004_M	2005
i100_2005_F	i051_2003_F	i065_2004_M	2005
i101_2006_F	i095_2005_F	i046_2003_M	2006
i102_2006_M	i091_2005_F	i065_2004_M	2006
