"Mode","Sex","dam","sire","Prob_aa","Prob_aA","Prob_Aa","Prob_AA"
"autosomal",3,"aa","aa",1,0,0,0
"autosomal",3,"aa","aA",0.5,0.5,0,0
"autosomal",3,"aa","Aa",0.5,0.5,0,0
"autosomal",3,"aa","AA",0,1,0,0
"autosomal",3,"aA","aa",0.5,0,0.5,0
"autosomal",3,"aA","aA",0.25,0.25,0.25,0.25
"autosomal",3,"aA","Aa",0.25,0.25,0.25,0.25
"autosomal",3,"aA","AA",0,0.5,0,0.5
"autosomal",3,"Aa","aa",0.5,0,0.5,0
"autosomal",3,"Aa","aA",0.25,0.25,0.25,0.25
"autosomal",3,"Aa","Aa",0.25,0.25,0.25,0.25
"autosomal",3,"Aa","AA",0,0.5,0,0.5
"autosomal",3,"AA","aa",0,0,1,0
"autosomal",3,"AA","aA",0,0,0.5,0.5
"autosomal",3,"AA","Aa",0,0,0.5,0.5
"autosomal",3,"AA","AA",0,0,0,1
"X-chromosome",1,"aa","aa",1,0,0,0
"X-chromosome",1,"aa","aA",0,0,0,0
"X-chromosome",1,"aa","Aa",0,0,0,0
"X-chromosome",1,"aa","AA",0,1,0,0
"X-chromosome",1,"aA","aa",0.5,0,0.5,0
"X-chromosome",1,"aA","aA",0,0,0,0
"X-chromosome",1,"aA","Aa",0,0,0,0
"X-chromosome",1,"aA","AA",0,0.5,0,0.5
"X-chromosome",1,"Aa","aa",0.5,0,0.5,0
"X-chromosome",1,"Aa","aA",0,0,0,0
"X-chromosome",1,"Aa","Aa",0,0,0,0
"X-chromosome",1,"Aa","AA",0,0.5,0,0.5
"X-chromosome",1,"AA","aa",0,0,1,0
"X-chromosome",1,"AA","aA",0,0,0,0
"X-chromosome",1,"AA","Aa",0,0,0,0
"X-chromosome",1,"AA","AA",0,0,0,1
"X-chromosome",2,"aa","aa",1,0,0,0
"X-chromosome",2,"aa","aA",0,0,0,0
"X-chromosome",2,"aa","Aa",0,0,0,0
"X-chromosome",2,"aa","AA",1,0,0,0
"X-chromosome",2,"aA","aa",0.5,0,0,0.5
"X-chromosome",2,"aA","aA",0,0,0,0
"X-chromosome",2,"aA","Aa",0,0,0,0
"X-chromosome",2,"aA","AA",0.5,0,0,0.5
"X-chromosome",2,"Aa","aa",0.5,0,0,0.5
"X-chromosome",2,"Aa","aA",0,0,0,0
"X-chromosome",2,"Aa","Aa",0,0,0,0
"X-chromosome",2,"Aa","AA",0.5,0,0,0.5
"X-chromosome",2,"AA","aa",0,0,0,1
"X-chromosome",2,"AA","aA",0,0,0,0
"X-chromosome",2,"AA","Aa",0,0,0,0
"X-chromosome",2,"AA","AA",0,0,0,1
"Y-chromosome",2,"aa","aa",1,0,0,0
"Y-chromosome",2,"aa","aA",0,0,0,0
"Y-chromosome",2,"aa","Aa",0,0,0,0
"Y-chromosome",2,"aa","AA",0,0,0,1
"Y-chromosome",2,"aA","aa",1,0,0,0
"Y-chromosome",2,"aA","aA",0,0,0,0
"Y-chromosome",2,"aA","Aa",0,0,0,0
"Y-chromosome",2,"aA","AA",0,0,0,1
"Y-chromosome",2,"Aa","aa",1,0,0,0
"Y-chromosome",2,"Aa","aA",0,0,0,0
"Y-chromosome",2,"Aa","Aa",0,0,0,0
"Y-chromosome",2,"Aa","AA",0,0,0,1
"Y-chromosome",2,"AA","aa",1,0,0,0
"Y-chromosome",2,"AA","aA",0,0,0,0
"Y-chromosome",2,"AA","Aa",0,0,0,0
"Y-chromosome",2,"AA","AA",0,0,0,1
"mtDNA",3,"aa","aa",1,0,0,0
"mtDNA",3,"aa","aA",1,0,0,0
"mtDNA",3,"aa","Aa",1,0,0,0
"mtDNA",3,"aa","AA",1,0,0,0
"mtDNA",3,"aA","aa",0,0,0,0
"mtDNA",3,"aA","aA",0,0,0,0
"mtDNA",3,"aA","Aa",0,0,0,0
"mtDNA",3,"aA","AA",0,0,0,0
"mtDNA",3,"Aa","aa",0,0,0,0
"mtDNA",3,"Aa","aA",0,0,0,0
"mtDNA",3,"Aa","Aa",0,0,0,0
"mtDNA",3,"Aa","AA",0,0,0,0
"mtDNA",3,"AA","aa",0,0,0,1
"mtDNA",3,"AA","aA",0,0,0,1
"mtDNA",3,"AA","Aa",0,0,0,1
"mtDNA",3,"AA","AA",0,0,0,1
